title,url,raw_price,location
Prodej bytu 2+kk 63 m²,https://reality.idnes.cz/detail/prodej/byt/zajeci/680bdbc22a1a6a7edb0d416b/,4 990 000 Kč,"Zaječí, okres Břeclav"
Prodej bytu 3+kk 73 m²,https://reality.idnes.cz/detail/prodej/byt/praha-5-vrazova/698f29d557b00239e30dd37c/,12 790 000 Kč,"Vrázova, Praha 5 - Smíchov"
Prodej bytu 3+kk 112 m²,https://reality.idnes.cz/detail/prodej/byt/praha-15-pod-lesikem/69257f003de5ba0f3d0d14df/,11 350 000 Kč,"Pod lesíkem, Praha 10 - Dolní Měcholupy"
Prodej bytu 3+kk 72 m²,https://reality.idnes.cz/detail/prodej/byt/paseka/698f2dda0ae3e10cde0480e2/,3 900 000 Kč,"Paseka, okres Olomouc"
Prodej bytu 3+1 60 m²,https://reality.idnes.cz/detail/prodej/byt/vyskov-vita-nejedleho/6983445b57028e4a62059e34/,5 600 000 Kč,"Víta Nejedlého, Vyškov"
Prodej bytu 3+kk 60 m²,https://reality.idnes.cz/detail/prodej/byt/velke-karlovice/698f28ef4f87a44b5702e2f2/,3 490 000 Kč,"Velké Karlovice, okres Vsetín"
Prodej bytu 3+kk 94 m²,https://reality.idnes.cz/detail/prodej/byt/zlin-vozenilkova/696f862328006c46c10089c5/,10 900 000 Kč,"Voženílkova, Zlín"
Prodej bytu 3+kk 87 m²,https://reality.idnes.cz/detail/prodej/byt/luhacovice-mlynska/69861b3c6eb69f6ede0739cc/,7 590 000 Kč,"Mlýnská, Luhačovice, okres Zlín"
Prodej bytu 3+kk 72 m²,https://reality.idnes.cz/detail/prodej/byt/vsemina/69861b403bd365117105f97e/,4 990 000 Kč,"Všemina, okres Zlín"
Prodej bytu 2+kk 114 m²,https://reality.idnes.cz/detail/prodej/byt/dubaj/698f27c0d1f0b9a2f20793a7/,24 567 340 Kč,"Dubaj, Spojené arabské emiráty"
Prodej bytu 1+kk 28 m²,https://reality.idnes.cz/detail/prodej/byt/praha-siklove/698f274afd0f95e84b0e60c7/,7 746 359 Kč,"Šiklové, Praha 5 - Smíchov"
Prodej bytu 3+kk 73 m²,https://reality.idnes.cz/detail/prodej/byt/praha-22-vaclava-trojana/68c33979fbd54b8639004332/,10 990 000 Kč,"Václava Trojana, Praha 10 - Uhříněves"
Prodej bytu 2+kk 44 m²,https://reality.idnes.cz/detail/prodej/byt/lavicky/698f26b36bbf695b4f0389b5/,3 849 000 Kč,"Lavičky, okres Žďár nad Sázavou"
Prodej bytu 3+kk 80 m²,https://reality.idnes.cz/detail/prodej/byt/praha-siklove/698f25d715f16216dc09ca35/,17 899 214 Kč,"Šiklové, Praha 5 - Smíchov"
Prodej bytu 2+kk 55 m²,https://reality.idnes.cz/detail/prodej/byt/ceska-lipa-dubicka/698f25d561ad9dda550012bc/,2 440 000 Kč,"Dubická, Česká Lípa"
Prodej bytu 1+kk 28 m²,https://reality.idnes.cz/detail/prodej/byt/pribram-spitalska/698f1b956e5d8da5070255ef/,3 100 000 Kč,"Špitálská, Příbram - Příbram I"
Prodej bytu 2+kk 49 m²,https://reality.idnes.cz/detail/prodej/byt/celakovice-sokolovska/691c6b54644aec1c240e73a4/,5 397 000 Kč,"Sokolovská, Čelákovice, okres Praha-východ"
Prodej bytu 2+kk 30 m²,https://reality.idnes.cz/detail/prodej/byt/brno-zezulova/698f2463ee61c4752b0523fb/,4 900 000 Kč,"Zezulova, Brno - Brněnské Ivanovice"
Prodej bytu 3+kk 65 m²,https://reality.idnes.cz/detail/prodej/byt/mezibori-j-a-komenskeho/698f2454cbd134369205d09d/,2 690 000 Kč,"J. A. Komenského, Meziboří, okres Most"
Prodej bytu 3+1 79 m²,https://reality.idnes.cz/detail/prodej/byt/katusice-polni/696601e74baec61ca80e9889/,4 999 999 Kč,"Polní, Katusice, okres Mladá Boleslav"
Prodej bytu 4+kk 108 m²,https://reality.idnes.cz/detail/prodej/byt/plzen/698f207a0fb303b22c0fe1ea/,11 345 467 Kč,Plzeň
Prodej bytu 2+kk 49 m²,https://reality.idnes.cz/detail/prodej/byt/liberec-k-sportovnimu-arealu/67ad078c8765f4b16109781e/,6 859 662 Kč,"K Sportovnímu Areálu, Liberec - Liberec XXV-Vesec"
Prodej bytu 2+kk 62 m²,https://reality.idnes.cz/detail/prodej/byt/praha-8-na-sypkem/696b77c615e2ee897f088025/,10 800 000 Kč,"Na sypkém, Praha 8 - Libeň"
Prodej bytu 3+1 67 m²,https://reality.idnes.cz/detail/prodej/byt/frenstat-pod-radhostem-podkopci/696a87763ccdb3bc6109399d/,3 750 000 Kč,"Podkopčí, Frenštát pod Radhoštěm, okres Nový Jičín"
Prodej bytu 2+kk 43 m²,https://reality.idnes.cz/detail/prodej/byt/praha-6-veleslavinska/698f1dfdb437654f2606a121/,7 090 000 Kč,"Veleslavínská, Praha 6 - Veleslavín"
Prodej bytu 2+kk 57 m²,https://reality.idnes.cz/detail/prodej/byt/hluboka-nad-vltavou-masarykova/698f1d7bda40af5c9a007869/,9 618 700 Kč,"Masarykova, Hluboká nad Vltavou, okres České Budějovice"
Prodej bytu 3+kk 75 m²,https://reality.idnes.cz/detail/prodej/byt/praha-9-kbelska/655ec48e450d6faac3040377/,Cena na vyžádání,"Kbelská, Praha 9 - Hloubětín"
Prodej bytu 2+1 56 m²,https://reality.idnes.cz/detail/prodej/byt/liberec-letna/698f1c893bfd1b8aa5010cfa/,4 535 000 Kč,"Letná, Liberec - Liberec XII-Staré Pavlovice"
Prodej bytu 4+kk 94 m²,https://reality.idnes.cz/detail/prodej/byt/brno-havrankova/695b78b3583dfa71400a9474/,12 900 000 Kč,"Havránkova, Brno - Dolní Heršpice"
Prodej bytu 3+1 83 m²,https://reality.idnes.cz/detail/prodej/byt/brno-nove-sady/695b789fb848a108a10bf1ab/,8 400 000 Kč,"Nové sady, Brno - Staré Brno"
Prodej bytu 4+kk 103 m²,https://reality.idnes.cz/detail/prodej/byt/plzen-sladova/698f1e74a0ff1312f107aae7/,Cena na vyžádání,"Sladová, Plzeň - Východní Předměstí"
Prodej bytu 3+kk 64 m²,https://reality.idnes.cz/detail/prodej/byt/trutnov-chodska/698f145168760638c404c389/,5 642 880 Kč,"Chodská, Trutnov - Horní Předměstí"
Prodej bytu 2+kk 53 m²,https://reality.idnes.cz/detail/prodej/byt/koh-samui/67a466177152dcfaf80c4a1b/,2 500 000 Kč,"Koh Samui, Thajsko"
